Variable,Missing_Count,Missing_Percent,Data_Type,Unique_Values
firsrep_oth2_name,1075,100.0,float64,0
firsrep_oth2_ast,1075,100.0,float64,0
presc_cul_tetracycline,1075,100.0,float64,0
first_doripenem,1075,100.0,float64,0
secrep_amoxicillin,1075,100.0,float64,0
secrep_amp_sulbactam,1075,100.0,float64,0
secrep_cofotaxime,1075,100.0,float64,0
secrep_azithromycin,1075,100.0,float64,0
secrep_aztreonam,1075,100.0,float64,0
secrep_cefepime,1075,100.0,float64,0
secrep_cefixime,1075,100.0,float64,0
secrep_cefoxitin,1075,100.0,float64,0
secrep_cefsalbactam,1075,100.0,float64,0
secrep_clindamycin,1075,100.0,float64,0
thirdrep_gentamicin,1075,100.0,float64,0
secrep_nitrofurantoin,1075,100.0,float64,0
thirdrep_levofloxacin,1075,100.0,float64,0
third_rifampin,1075,100.0,float64,0
third_cofotaxime,1075,100.0,float64,0
third_doripenem,1075,100.0,float64,0
presc_cul_azithromycin,1075,100.0,float64,0
presc_cul_nalidixicacid,1075,100.0,float64,0
third_ertapenem,1075,100.0,float64,0
third_erythromycin,1075,100.0,float64,0
presc_cul_linezolid,1075,100.0,float64,0
third_linezolid,1075,100.0,float64,0
presc_cul_ertapenem,1075,100.0,float64,0
third_oxacillin,1075,100.0,float64,0
third_pen_g,1075,100.0,float64,0
thirdrep_linezolid,1075,100.0,float64,0
presc_cul_doripenem,1075,100.0,float64,0
presc_cul_cofotaxime,1075,100.0,float64,0
third_streptomycin,1075,100.0,float64,0
third_cefsalbactam,1075,100.0,float64,0
presc_cul_cefuroxime,1075,100.0,float64,0
third_tigecycline,1075,100.0,float64,0
presc_cul_cefoxitin,1075,100.0,float64,0
third_vancomycin,1075,100.0,float64,0
third_othe,1075,100.0,float64,0
third_oth_ast,1075,100.0,float64,0
third_oth2_name,1075,100.0,float64,0
third_oth2_ast,1075,100.0,float64,0
presc_cul_vancomycin,1075,100.0,float64,0
presc_cul_tigecycline,1075,100.0,float64,0
presc_cul_amoxicillin,1075,100.0,float64,0
presc_cul_cefixime,1075,100.0,float64,0
presc_cul_cefepime,1075,100.0,float64,0
presc_cul_aztreonam,1075,100.0,float64,0
third_clindamycin,1075,100.0,float64,0
third_doxycycline,1075,100.0,float64,0
third_cefoxitin,1075,100.0,float64,0
thirdrep_rifampin,1075,100.0,float64,0
third_cefixime,1075,100.0,float64,0
thirdrep_vancomycin,1075,100.0,float64,0
thirdrep_sxt,1075,100.0,float64,0
thirdrep_tigecycline,1075,100.0,float64,0
thirdrep_tetracycline,1075,100.0,float64,0
thirdrep_streptomycin,1075,100.0,float64,0
thirdrep_pip_tazobactam,1075,100.0,float64,0
thirdrep_oth2_name,1075,100.0,float64,0
thirdrep_piperacillin,1075,100.0,float64,0
thirdrep_pen_g,1075,100.0,float64,0
thirdrep_oxacillin,1075,100.0,float64,0
thirdrep_nitrofurantoin,1075,100.0,float64,0
thirdrep_nalidixicacid,1075,100.0,float64,0
thirdrep_meropenem,1075,100.0,float64,0
thirdrep_oth_ast,1075,100.0,float64,0
thirdrep_othe,1075,100.0,float64,0
thirdrep_oth2_ast,1075,100.0,float64,0
presc_cul_rifampin,1075,100.0,float64,0
third_azithromycin,1075,100.0,float64,0
firsrep_amoxicillin,1075,100.0,float64,0
firsrep_azithromycin,1075,100.0,float64,0
firsrep_aztreonam,1075,100.0,float64,0
firsrep_cefixime,1075,100.0,float64,0
presc_cul_oxacillin,1075,100.0,float64,0
firsrep_cefoxitin,1075,100.0,float64,0
firsrep_cefsalbactam,1075,100.0,float64,0
presc_cul_pen_g,1075,100.0,float64,0
presc_cul_piperacillin,1075,100.0,float64,0
presc_cul_amp_sulbactam,1075,100.0,float64,0
presc_cul_erythromycin,1074,99.90697674418605,float64,1
presc_cul_cefotaxime,1074,99.90697674418605,float64,1
secrep_meropenem,1074,99.90697674418605,object,1
other_discharge,1074,99.90697674418605,float64,1
presc_cul_ceftazidime,1074,99.90697674418605,float64,1
secrep_imipenem,1074,99.90697674418605,object,1
presc_cul_nitrofurantoin,1074,99.90697674418605,float64,1
presc_cul_cefsalbactam,1074,99.90697674418605,float64,1
secrep_doxycycline,1074,99.90697674418605,object,1
firsrep_vancomycin,1074,99.90697674418605,object,1
secrep_chloramphenicol,1074,99.90697674418605,object,1
secrep_cefuroxime,1074,99.90697674418605,object,1
firsrep_erythromycin,1074,99.90697674418605,object,1
firsrep_clindamycin,1074,99.90697674418605,object,1
firsrep_cefuroxime,1074,99.90697674418605,object,1
firsrep_oxacillin,1074,99.90697674418605,object,1
firsrep_amp_sulbactam,1074,99.90697674418605,object,1
sec_streptomycin,1074,99.90697674418605,object,1
sec_ertapenem,1074,99.90697674418605,object,1
third_levofloxacin,1074,99.90697674418605,object,1
third_meropenem,1074,99.90697674418605,object,1
firsrep_piperacillin,1074,99.90697674418605,object,1
third_nitrofurantoin,1074,99.90697674418605,object,1
firsrep_othe,1074,99.90697674418605,object,1
firsrep_oth_ast,1074,99.90697674418605,object,1
first_streptomycin,1074,99.90697674418605,object,1
third_tetracycline,1074,99.90697674418605,object,1
first_cefsalbactam,1074,99.90697674418605,object,1
secrep_amikacin,1074,99.90697674418605,object,1
secrep_ampicillin,1074,99.90697674418605,object,1
secrep_cefotaxime,1074,99.90697674418605,object,1
secrep_ceftazidime,1074,99.90697674418605,object,1
presc_cul_ampicillin,1074,99.90697674418605,float64,1
firsrep_doxycycline,1074,99.90697674418605,object,1
third_aztreonam,1074,99.90697674418605,object,1
secrep_sxt,1074,99.90697674418605,object,1
firsrep_amikacin,1073,99.81395348837209,object,1
firsrep_cefepime,1073,99.81395348837209,object,1
secrep_gentamicin,1073,99.81395348837209,object,2
firsrep_ceftazidime,1073,99.81395348837209,object,1
third_nalidixicacid,1073,99.81395348837209,object,1
secrep_ceftriaxone,1073,99.81395348837209,object,1
sec_oth_ast,1073,99.81395348837209,object,1
sec_othe,1073,99.81395348837209,object,2
sec_linezolid,1073,99.81395348837209,object,2
third_imipenem,1073,99.81395348837209,object,1
third_amoxiclav,1073,99.81395348837209,object,2
firsrep_meropenem,1073,99.81395348837209,object,2
third_amp_sulbactam,1073,99.81395348837209,object,1
secrep_pip_tazobactam,1073,99.81395348837209,object,2
firsrep_pen_g,1073,99.81395348837209,object,2
sec_rep_organis,1073,99.81395348837209,object,1
presc_cul_doxycycline,1073,99.81395348837209,float64,1
presc_cul_imipenem,1073,99.81395348837209,float64,2
presc_cul_levofloxacin,1073,99.81395348837209,float64,1
secrep_ciprofloxacin,1073,99.81395348837209,object,1
third_chloramphenicol,1073,99.81395348837209,object,1
sec_azithromycin,1073,99.81395348837209,object,1
third_cefepime,1072,99.72093023255813,object,1
third_cefotaxime,1072,99.72093023255813,object,2
third_amoxicillin,1072,99.72093023255813,object,1
third_ampicillin,1072,99.72093023255813,object,1
firsrep_amoxiclav,1072,99.72093023255813,object,1
firsrep_cefotaxime,1072,99.72093023255813,object,1
firsrep_imipenem,1072,99.72093023255813,object,2
sec_doxycycline,1072,99.72093023255813,object,2
sec_cefixime,1072,99.72093023255813,object,1
sec_amp_sulbactam,1072,99.72093023255813,object,1
firsrep_pip_tazobactam,1072,99.72093023255813,object,2
first_ertapenem,1072,99.72093023255813,object,1
firs_oth2_ast,1072,99.72093023255813,object,2
firs_oth2_name,1072,99.72093023255813,object,3
third_ceftazidime,1072,99.72093023255813,object,2
first_rifampin,1072,99.72093023255813,object,1
third_sxt,1072,99.72093023255813,object,1
presc_cul_clindamycin,1072,99.72093023255813,float64,1
third_pip_tazobactam,1072,99.72093023255813,object,3
third_piperacillin,1071,99.62790697674419,object,2
sec_vancomycin,1071,99.62790697674419,object,2
firsrep_sxt,1071,99.62790697674419,object,2
sec_amoxicillin,1071,99.62790697674419,object,3
firsrep_ceftriaxone,1071,99.62790697674419,object,1
firsrep_ampicillin,1071,99.62790697674419,object,1
presc_cul_sxt,1071,99.62790697674419,float64,2
firsrep_tetracycline,1071,99.62790697674419,object,2
presc_cul_amikacin,1071,99.62790697674419,float64,3
third_gentamicin,1070,99.53488372093024,object,2
sec_levofloxacin,1070,99.53488372093024,object,2
sec_pen_g,1070,99.53488372093024,object,2
first_cofotaxime,1070,99.53488372093024,object,3
third_ceftriaxone,1070,99.53488372093024,object,2
gcs_discharge,1070,99.53488372093024,float64,3
missed_other,1070,99.53488372093024,float64,5
third_cefuroxime,1070,99.53488372093024,object,2
comp_genital,1070,99.53488372093024,object,5
third_amikacin,1069,99.44186046511628,object,3
sec_nitrofurantoin,1069,99.44186046511628,object,2
firsrep_chloramphenicol,1069,99.44186046511628,object,2
third_ciprofloxacin,1069,99.44186046511628,object,3
sec_erythromycin,1068,99.34883720930232,object,3
firsrep_gentamicin,1068,99.34883720930232,object,2
firsrep_ciprofloxacin,1068,99.34883720930232,object,2
presc_cul_meropenem,1068,99.34883720930232,float64,4
comp_resp,1068,99.34883720930232,object,7
presc_cul_amoxiclav,1068,99.34883720930232,float64,2
comp_integ,1067,99.25581395348837,object,8
presc_cul_pip_tazobactam,1067,99.25581395348837,float64,7
first_tigecycline,1067,99.25581395348837,object,2
sec_clindamycin,1067,99.25581395348837,object,3
sec_cefoxitin,1067,99.25581395348837,object,2
sec_aztreonam,1067,99.25581395348837,object,2
third_organism,1066,99.16279069767442,object,6
num_organis,1066,99.16279069767442,float64,2
firs_rep_organis,1066,99.16279069767442,object,8
presc_cul_ceftriaxone,1066,99.16279069767442,float64,4
rr_discharge,1065,99.06976744186046,float64,10
sec_nalidixicacid,1065,99.06976744186046,object,2
other_antibiotic2,1065,99.06976744186046,object,7
first_oxacillin,1065,99.06976744186046,object,2
comp_cns,1063,98.88372093023256,object,11
other_param,1061,98.69767441860465,object,7
sec_meropenem,1061,98.69767441860465,object,3
other_baseline,1060,98.6046511627907,object,13
presc_cul_ciprofloxacin,1060,98.6046511627907,float64,8
sec_piperacillin,1060,98.6046511627907,object,2
first_linezolid,1057,98.32558139534883,object,2
sec_amoxiclav,1056,98.23255813953489,object,3
date_rep_cult,1056,98.23255813953489,datetime64[ns],19
growth_rep,1056,98.23255813953489,object,2
comp_cardio,1056,98.23255813953489,object,18
first_levofloxacin,1055,98.13953488372093,object,2
temp_discharge,1055,98.13953488372093,float64,16
sec_cefuroxime,1054,98.04651162790698,object,2
presc_cul_gentamicin,1054,98.04651162790698,float64,5
sec_cefotaxime,1053,97.95348837209302,object,3
sec_pip_tazobactam,1052,97.86046511627907,object,3
sec_ampicillin,1052,97.86046511627907,object,2
firs_othe,1050,97.67441860465115,object,15
sec_cefepime,1050,97.67441860465115,object,3
firs_oth_ast,1049,97.5813953488372,object,3
sec_tetracycline,1047,97.39534883720931,object,2
sec_imipenem,1047,97.39534883720931,object,3
comp_git,1047,97.39534883720931,object,27
first_amoxicillin,1046,97.30232558139534,object,3
first_cefixime,1045,97.20930232558139,object,2
pulse_discharge,1045,97.20930232558139,float64,27
sec_sxt,1045,97.20930232558139,object,2
first_azithromycin,1044,97.11627906976744,object,3
sysbp_samplecoll,1043,97.0232558139535,float64,25
date_referral,1043,97.0232558139535,datetime64[ns],31
comp_musculo,1041,96.83720930232558,object,26
presc_cul_chloramphenicol,1041,96.83720930232558,float64,9
first_amp_sulbactam,1040,96.74418604651163,object,3
first_vancomycin,1039,96.65116279069767,object,3
sec_amikacin,1038,96.55813953488372,object,3
sec_ceftazidime,1038,96.55813953488372,object,3
diastolic_bp_baseline,1037,96.46511627906976,float64,28
sec_chloramphenicol,1036,96.37209302325581,object,3
other_comorbidities,1031,95.90697674418604,object,20
sec_ceftriaxone,1029,95.72093023255815,object,3
first_nalidixicacid,1029,95.72093023255815,object,3
ref_other,1026,95.44186046511628,object,22
gcs_baseline,1022,95.06976744186046,object,15
first_doxycycline,1020,94.88372093023256,object,3
sec_ciprofloxacin,1019,94.7906976744186,object,3
first_pen_g,1017,94.6046511627907,object,3
first_aztreonam,1014,94.32558139534883,object,3
sec_gentamicin,1012,94.13953488372093,object,3
diag_reprod,1007,93.67441860465117,object,26
first_piperacillin,1006,93.5813953488372,object,3
first_nitrofurantoin,1004,93.3953488372093,object,3
sec_organism,998,92.83720930232559,object,23
oth_indwel,989,92.0,object,4
first_meropenem,972,90.4186046511628,object,3
cause_death,971,90.32558139534885,object,84
diag_integu,970,90.23255813953487,object,48
first_cefoxitin,970,90.23255813953487,object,3
diag_genit,969,90.13953488372093,object,29
first_clindamycin,968,90.04651162790698,object,3
diad_cardio,967,89.95348837209303,object,70
diag_death_file,951,88.46511627906976,object,41
first_erythromycin,951,88.46511627906976,object,3
date_death,951,88.46511627906976,datetime64[ns],110
first_cefotaxime,939,87.34883720930232,object,3
first_cefepime,937,87.16279069767442,object,3
rr_baseline,927,86.23255813953489,float64,39
diag_git,923,85.86046511627907,object,68
diag_resp,922,85.76744186046513,object,42
diag_cns,922,85.76744186046513,object,26
first_pip_tazobactam,918,85.39534883720931,object,3
temp_baseline,910,84.65116279069768,float64,44
first_amoxiclav,905,84.18604651162791,object,3
first_amikacin,897,83.44186046511628,object,3
first_cefuroxime,896,83.34883720930233,object,3
date_antib_admin,895,83.25581395348837,datetime64[ns],156
first_ceftazidime,876,81.48837209302326,object,3
first_tetracycline,876,81.48837209302326,object,3
start_date_antib,875,81.3953488372093,datetime64[ns],164
first_imipenem,867,80.65116279069767,object,3
first_ampicillin,867,80.65116279069767,object,3
facility_category,860,80.0,object,4
occupation,841,78.23255813953487,object,26
first_ceftriaxone,803,74.69767441860465,object,3
first_sxt,765,71.16279069767441,object,3
first_chloramphenicol,746,69.3953488372093,object,3
spo2_baseline,717,66.69767441860465,object,33
specimen_type,710,66.04651162790698,object,8
oth_spectype,710,66.04651162790698,object,8
other_antibiotic,671,62.41860465116279,object,41
diag_musculo,647,60.18604651162791,object,177
first_ciprofloxacin,644,59.906976744186046,object,3
first_gentamicin,638,59.34883720930233,object,3
disatbp_admit,637,59.25581395348837,float64,77
systolic_bp_baseline,621,57.76744186046512,float64,105
pulse_baseline,615,57.20930232558139,float64,111
first_organism,504,46.883720930232556,object,40
res_subcounty,487,45.302325581395344,object,429
antib_aft_culture,478,44.46511627906977,object,2
organism_isolated,474,44.093023255813954,float64,4
village,310,28.837209302325583,object,675
sympt_dura,292,27.162790697674417,float64,29
date_at_discharge,223,20.74418604651163,datetime64[ns],517
res_district,57,5.3023255813953485,object,138
date_diagn,18,1.6744186046511629,datetime64[ns],628
treatment_outcome,3,0.27906976744186046,object,6
collection_date,2,0.18604651162790697,datetime64[ns],594
growth1,2,0.18604651162790697,object,3
sec_site_infection___6,2,0.18604651162790697,object,2
referral,2,0.18604651162790697,object,2
sec_site_infection___7,2,0.18604651162790697,object,2
sec_site_infection___5,2,0.18604651162790697,object,2
sec_site_infection___1,2,0.18604651162790697,object,2
sec_site_infection___2,2,0.18604651162790697,object,2
sec_site_infection___3,2,0.18604651162790697,object,2
sec_site_infection___9,2,0.18604651162790697,object,2
sec_site_infection___8,2,0.18604651162790697,object,2
sec_site_infection___4,2,0.18604651162790697,object,2
re_admit,2,0.18604651162790697,object,2
admission_date,1,0.09302325581395349,datetime64[ns],627
date_data_collect,1,0.09302325581395349,datetime64[ns],26
hiv_status,1,0.09302325581395349,object,3
antib_prior_admi,1,0.09302325581395349,object,3
ward,1,0.09302325581395349,object,11
culture_and_sensitivity,1,0.09302325581395349,object,1
age,1,0.09302325581395349,float64,94
patient_id,1,0.09302325581395349,object,1019
ast_anti22___27,0,0.0,object,1
ast_anti11___25,0,0.0,object,2
ast_anti11___14,0,0.0,object,1
ast_anti11___15,0,0.0,object,2
ast_anti11___16,0,0.0,object,2
ast_anti11___17,0,0.0,object,2
ast_anti33___27,0,0.0,object,1
ast_anti11___18,0,0.0,object,2
ast_anti11___19,0,0.0,object,1
ast_anti11___20,0,0.0,object,1
ast_anti11___21,0,0.0,object,2
ast_anti11___22,0,0.0,object,1
ast_anti11___23,0,0.0,object,2
ast_anti11___24,0,0.0,object,2
ast_anti11___27,0,0.0,object,1
ast_anti11___26,0,0.0,object,1
ast_anti22___26,0,0.0,object,1
ast_anti11___28,0,0.0,object,2
ast_anti11___29,0,0.0,object,1
ast_anti11___30,0,0.0,object,1
ast_anti11___12,0,0.0,object,2
ast_anti33___26,0,0.0,object,1
ast_anti11___31,0,0.0,object,2
ast_anti22___15,0,0.0,object,2
ast_anti22___25,0,0.0,object,2
ast_anti22___28,0,0.0,object,2
ast_anti22___14,0,0.0,object,1
ast_anti22___13,0,0.0,object,2
ast_anti11___13,0,0.0,object,2
ast_anti22___21,0,0.0,object,2
disch_diag_cardio,0,0.0,object,52
diag_disch_syst___2,0,0.0,object,2
diag_disch_syst___3,0,0.0,object,2
ast_anti22___19,0,0.0,object,1
diag_disch_syst___4,0,0.0,object,2
diag_disch_syst___5,0,0.0,object,2
diag_disch_syst___6,0,0.0,object,2
diag_disch_syst___7,0,0.0,object,2
diag_disch_syst___8,0,0.0,object,2
disch_diag_cns,0,0.0,object,65
ast_anti22___23,0,0.0,object,1
ast_anti22___22,0,0.0,object,1
disch_diag_git,0,0.0,object,104
disch_diag_resp,0,0.0,object,77
disch_diag_genital,0,0.0,object,42
ast_anti22___20,0,0.0,object,1
disch_diag_musculo,0,0.0,object,213
ast_anti22___18,0,0.0,object,1
diag_disch_syst___1,0,0.0,object,2
ast_anti11___10,0,0.0,object,2
ast_anti22___17,0,0.0,object,2
ast_anti11___9,0,0.0,object,1
ast_anti11___8,0,0.0,object,2
ast_anti11___7,0,0.0,object,1
ast_anti11___6,0,0.0,object,1
ast_anti11___5,0,0.0,object,2
ast_anti11___4,0,0.0,object,2
ast_anti11___3,0,0.0,object,2
ast_anti11___2,0,0.0,object,1
ast_anti11___1,0,0.0,object,2
ast_anti22___12,0,0.0,object,2
ast_anti22___24,0,0.0,object,2
disch_diag_reprod,0,0.0,object,25
disch_diag_interg,0,0.0,object,67
repeat_culture,0,0.0,object,2
ast_anti22___16,0,0.0,object,2
ast_anti11___11,0,0.0,object,1
ast_anti33___39,0,0.0,object,1
ast_anti33___1,0,0.0,object,1
ast_anti22___36,0,0.0,object,1
ast_anti22___3,0,0.0,object,1
ast_anti22___33,0,0.0,object,1
ast_anti22___34,0,0.0,object,2
ast_anti22___4,0,0.0,object,2
ast_anti22___5,0,0.0,object,1
ast_anti22___6,0,0.0,object,1
complications,0,0.0,object,2
ast_anti22___35,0,0.0,object,1
comp_system___1,0,0.0,object,2
ast_anti33___2,0,0.0,object,1
comp_system___2,0,0.0,object,2
ast_anti22___37,0,0.0,object,1
ast_anti22___38,0,0.0,object,1
comp_system___3,0,0.0,object,2
ast_anti22___39,0,0.0,object,2
comp_system___4,0,0.0,object,2
ast_anti22___40,0,0.0,object,1
comp_system___5,0,0.0,object,2
ast_anti22___2,0,0.0,object,1
ast_anti22___32,0,0.0,object,1
ast_anti22___1,0,0.0,object,2
ast_anti33___28,0,0.0,object,1
ast_anti33___37,0,0.0,object,1
ast_anti33___36,0,0.0,object,1
ast_anti33___40,0,0.0,object,1
ast_anti33___24,0,0.0,object,1
ast_anti33___35,0,0.0,object,1
ast_anti33___25,0,0.0,object,1
ast_anti33___41,0,0.0,object,1
ast_anti33___42,0,0.0,object,1
ast_anti33___34,0,0.0,object,1
ast_anti33___33,0,0.0,object,1
ast_anti33___32,0,0.0,object,1
ast_anti33___31,0,0.0,object,1
ast_anti22___29,0,0.0,object,1
ast_anti22___30,0,0.0,object,1
ast_anti33___30,0,0.0,object,1
ast_anti22___31,0,0.0,object,1
ast_anti33___29,0,0.0,object,1
comp_system___6,0,0.0,object,2
comp_system___7,0,0.0,object,2
ast_anti22___41,0,0.0,object,1
ast_anti33___16,0,0.0,object,1
ast_anti33___15,0,0.0,object,1
ast_anti33___14,0,0.0,object,1
ast_anti33___13,0,0.0,object,1
ast_anti33___12,0,0.0,object,1
ast_anti33___11,0,0.0,object,1
ast_anti33___10,0,0.0,object,1
ast_anti33___9,0,0.0,object,1
ast_anti33___8,0,0.0,object,1
ast_anti22___9,0,0.0,object,1
ast_anti33___7,0,0.0,object,1
ast_anti33___6,0,0.0,object,1
ast_anti22___10,0,0.0,object,2
ast_anti33___5,0,0.0,object,1
ast_anti33___4,0,0.0,object,1
ast_anti22___11,0,0.0,object,1
ast_anti33___3,0,0.0,object,1
ast_anti33___38,0,0.0,object,1
ast_anti22___8,0,0.0,object,1
ast_anti33___17,0,0.0,object,1
ast_anti22___42,0,0.0,object,1
ast_anti33___18,0,0.0,object,1
comp_system___8,0,0.0,object,2
ast_anti33___23,0,0.0,object,1
ast_anti22___7,0,0.0,object,1
ast_anti11___41,0,0.0,object,2
ast_anti11___40,0,0.0,object,2
ast_anti11___39,0,0.0,object,2
ast_anti11___38,0,0.0,object,1
ast_anti11___37,0,0.0,object,2
ast_anti11___36,0,0.0,object,1
ast_anti11___35,0,0.0,object,1
ast_anti11___34,0,0.0,object,2
ast_anti11___33,0,0.0,object,2
ast_anti11___32,0,0.0,object,2
ast_anti33___22,0,0.0,object,1
ast_anti33___21,0,0.0,object,1
ast_anti33___20,0,0.0,object,1
ast_anti33___19,0,0.0,object,1
ast_anti11___42,0,0.0,object,1
rec_id,0,0.0,object,1075
antib_presc_af_cul___41,0,0.0,object,2
antibiotics_prescribed___13,0,0.0,object,3
antibiotics_prescribed___6,0,0.0,object,2
antibiotics_prescribed___7,0,0.0,object,1
antibiotics_prescribed___8,0,0.0,object,2
antibiotics_prescribed___9,0,0.0,object,2
antibiotics_prescribed___10,0,0.0,object,2
antibiotics_prescribed___11,0,0.0,object,1
antibiotics_prescribed___12,0,0.0,object,1
antibiotics_prescribed___14,0,0.0,object,2
antibiotics_prescribed___23,0,0.0,object,2
antibiotics_prescribed___15,0,0.0,object,2
antibiotics_prescribed___16,0,0.0,object,2
antibiotics_prescribed___17,0,0.0,object,2
antibiotics_prescribed___18,0,0.0,object,2
antibiotics_prescribed___19,0,0.0,object,2
antibiotics_prescribed___20,0,0.0,object,1
antibiotics_prescribed___21,0,0.0,object,2
antibiotics_prescribed___5,0,0.0,object,1
antibiotics_prescribed___4,0,0.0,object,2
antibiotics_prescribed___3,0,0.0,object,2
antibiotics_prescribed___2,0,0.0,object,2
indwel_inst___6,0,0.0,object,1
indwel_inst___7,0,0.0,object,2
indwel_inst___8,0,0.0,object,2
indwel_inst___9,0,0.0,object,2
cormobid_condition,0,0.0,object,3
cormobidities___1,0,0.0,object,2
cormobidities___2,0,0.0,object,2
cormobidities___3,0,0.0,object,2
cormobidities___4,0,0.0,object,2
cormobidities___5,0,0.0,object,2
cormobidities___6,0,0.0,object,2
cormobidities___7,0,0.0,object,2
cormobidities___8,0,0.0,object,2
antibiotics,0,0.0,object,2
antibiotics_prescribed___1,0,0.0,object,2
antibiotics_prescribed___22,0,0.0,object,1
antibiotics_prescribed___24,0,0.0,object,2
ast_anti1___12,0,0.0,object,2
ast_anti1___2,0,0.0,object,2
clin_param___4,0,0.0,object,2
clin_param___5,0,0.0,object,2
clin_param___6,0,0.0,object,2
clin_param___7,0,0.0,object,2
bp_type___1,0,0.0,object,2
bp_type___2,0,0.0,object,2
ast_anti1___1,0,0.0,object,2
ast_anti1___3,0,0.0,object,2
antibiotics_prescribed___25,0,0.0,object,1
ast_anti1___4,0,0.0,object,2
ast_anti1___5,0,0.0,object,2
ast_anti1___6,0,0.0,object,2
ast_anti1___7,0,0.0,object,2
ast_anti1___8,0,0.0,object,2
ast_anti1___9,0,0.0,object,2
ast_anti1___10,0,0.0,object,2
clin_param___3,0,0.0,object,2
clin_param___2,0,0.0,object,2
clin_param___1,0,0.0,object,2
antibiotics_prescribed___41,0,0.0,object,2
antibiotics_prescribed___26,0,0.0,object,2
antibiotics_prescribed___27,0,0.0,object,2
antibiotics_prescribed___28,0,0.0,object,2
antibiotics_prescribed___29,0,0.0,object,1
antibiotics_prescribed___30,0,0.0,object,2
antibiotics_prescribed___31,0,0.0,object,1
antibiotics_prescribed___32,0,0.0,object,2
antibiotics_prescribed___33,0,0.0,object,1
antibiotics_prescribed___34,0,0.0,object,2
antibiotics_prescribed___35,0,0.0,object,1
antibiotics_prescribed___36,0,0.0,object,2
antibiotics_prescribed___37,0,0.0,object,1
antibiotics_prescribed___38,0,0.0,object,2
antibiotics_prescribed___39,0,0.0,object,2
antibiotics_prescribed___40,0,0.0,object,2
indwel_inst___5,0,0.0,object,2
indwel_inst___4,0,0.0,object,2
indwel_inst___3,0,0.0,object,2
prio_antib_name___7,0,0.0,object,1
site_based_sample___9,0,0.0,object,2
prio_antib_name___1,0,0.0,object,2
prio_antib_name___2,0,0.0,object,2
prio_antib_name___3,0,0.0,object,2
prio_antib_name___4,0,0.0,object,2
prio_antib_name___5,0,0.0,object,1
prio_antib_name___6,0,0.0,object,2
prio_antib_name___8,0,0.0,object,1
